p,h_avg,h_max,n_avg,n_max,t_avg,t_max,singleton_ratio,nonsingletonClasses
953,19.057712486883524,75,18.61490031479538,90,2.2032085561497325,4,0.5676810073452256,187
977,20.538382804503584,96,19.950870010235416,85,2.191616766467066,4,0.6253838280450358,167
967,19.493278179937953,97,19.74870734229576,91,2.1714285714285713,4,0.6070320579110652,175
971,20.014418125643665,98,19.648815653964984,89,2.275,5,0.6251287332646756,160
983,19.931841302136316,99,19.706002034587996,95,2.223529411764706,4,0.6154628687690743,170
997,20.86860581745236,98,19.9518555667001,87,2.195945945945946,5,0.6740220661985958,148
991,19.368314833501515,90,19.250252270433904,95,2.2982456140350878,7,0.6034308779011099,171
1013,20.475814412635735,98,20.3218163869694,98,2.2471264367816093,5,0.6140177690029615,174
1009,19.588701684836472,82,20.434093161546084,93,2.2325581395348837,5,0.6194251734390486,172
1021,20.28305582761998,103,19.193927522037217,88,2.233695652173913,4,0.5974534769833496,184
1019,20.37684003925417,80,20.0107948969578,104,2.2804878048780486,4,0.6329735034347399,164
1033,20.185866408518876,83,20.03872216844143,96,2.2139303482587063,4,0.569215876089061,201
1031,20.140640155189136,97,20.565470417070806,95,2.2422360248447206,5,0.6498545101842871,161
1049,20.505243088655863,103,21.204003813155385,123,2.2289156626506026,5,0.6472831267874166,166
1039,20.757459095283927,98,19.856592877767085,92,2.2127659574468086,4,0.5996150144369586,188
1051,20.013320647002853,95,20.263558515699334,112,2.28,5,0.6203615604186489,175
1061,20.552309142318567,104,21.232799245994347,101,2.1988950276243093,4,0.6248821866163996,181
1063,19.969896519285044,100,21.227657572906868,114,2.2339181286549707,4,0.6406396989651929,171
1069,20.257249766136574,112,20.362956033676333,100,2.282722513089005,5,0.5921421889616464,191
1091,20.001833180568287,105,21.262144821264894,99,2.2486486486486488,5,0.618698441796517,185
1087,21.547378104875804,101,20.533578656853727,107,2.238888888888889,4,0.6292548298068077,180
1093,21.176578225068617,103,19.929551692589204,92,2.2205128205128206,5,0.6038426349496798,195
1109,20.91794409377818,115,19.820559062218216,99,2.227777777777778,4,0.6384129846708747,180
1103,19.86128739800544,81,21.271985494106982,106,2.234042553191489,4,0.6192203082502267,188
1097,20.912488605287148,105,20.182315405651778,100,2.2972972972972974,4,0.6125797629899726,185
1123,20.991095280498666,91,20.43633125556545,91,2.25,4,0.6153161175422974,192
1117,20.004476275738586,85,20.862130707251566,115,2.2562814070351758,5,0.5980304386750224,199
1129,21.467670504871567,104,21.21523472099203,111,2.2041884816753927,4,0.6271036315323295,191
1151,21.47958297132928,112,21.097306689834927,111,2.2462311557788945,4,0.6116420503909644,199
1163,20.657781599312123,90,21.539122957867583,102,2.186602870813397,4,0.6070507308684436,209
1153,21.512575888985257,103,20.445793581960103,104,2.2139303482587063,4,0.614050303555941,201
1181,21.652836579170195,81,20.552921253175274,91,2.28,5,0.6138865368331922,200
1171,21.625960717335612,105,21.11187019641332,115,2.30635838150289,5,0.659265584970111,173
1187,21.667228306655435,111,21.32518955349621,123,2.2797927461139897,6,0.6293176074136478,193
1193,21.922045264040236,95,21.727577535624476,97,2.279187817258883,5,0.6236378876781223,197
1213,21.85820280296785,109,22.10964550700742,118,2.186602870813397,4,0.6232481450948063,209
1217,21.825801150369763,104,22.594083812654066,111,2.2268041237113403,6,0.6450287592440427,194
1223,22.683565004088308,115,22.2681929681112,102,2.25,4,0.6394112837285364,196
